Точка маршрута,Рейс 1,Рейс 2,Рейс 3,Рейс 4
28-29-Я ЛИНИИ,10:15:30,10:27:40,10:43:00,10:57:20
22-23-Я ЛИНИИ,10:16:30,10:28:40,10:43:50,10:58:10
МУЗЕЙ ГОРОДСКОГО ТРАНСПОРТА,10:18:40,10:31:40,10:46:40,11:01:00
12-13-Я ЛИНИИ,10:20:40,10:33:30,10:48:50,11:03:10
"МЕТРО ""ВАСИЛЕОСТРОВСКАЯ""",10:23:10,10:36:00,10:51:40,00:00:00
1-Я И КАДЕТСКАЯ ЛИНИИ,10:24:50,10:37:10,10:52:50,00:00:00
"1-Я И КАДЕТСКАЯ ЛИНИИ. МЕТРО ""СПОРТИВНАЯ""",10:26:30,10:38:40,10:53:50,00:00:00
"МЕТРО ""СПОРТИВНАЯ""",10:28:10,10:39:50,10:55:10,00:00:00
КРОНВЕРКСКИЙ ПРОСПЕКТ,10:29:10,10:41:10,10:56:30,00:00:00
ЗВЕРИНСКАЯ УЛ.,10:30:10,10:42:40,10:58:10,11:11:40
ВВЕДЕНСКАЯ УЛ.,10:31:40,10:44:00,10:59:30,11:13:20
СЫТНЫЙ РЫНОК,10:32:50,10:45:40,11:00:50,11:14:50
"МЕТРО ""ГОРЬКОВСКАЯ""",10:34:10,10:46:50,11:01:50,11:16:00
ТРОИЦКАЯ ПЛ. П.С.,10:35:10,10:48:00,11:03:30,11:17:20
УЛИЦА ЧАПАЕВА,10:36:30,10:49:30,11:05:10,11:19:00
